month,sales
2019-01-01,501.5
2019-02-01,532.4
2019-03-01,567.6
2019-04-01,573.3
2019-05-01,561.5
2019-06-01,554.3
2019-07-01,539.6
2019-08-01,509.4
2019-09-01,471.6
2019-10-01,460.8
2019-11-01,480.6
2019-12-01,514.5
2020-01-01,520.1
2020-02-01,579.4
2020-03-01,593.0
2020-04-01,611.2
2020-05-01,609.4
2020-06-01,594.2
2020-07-01,576.9
2020-08-01,558.5
2020-09-01,526.5
2020-10-01,540.4
2020-11-01,528.1
2020-12-01,566.2
2021-01-01,606.8
2021-02-01,631.1
2021-03-01,647.0
2021-04-01,656.9
2021-05-01,658.5
2021-06-01,648.6
2021-07-01,607.9
2021-08-01,591.5
2021-09-01,574.1
2021-10-01,578.5
2021-11-01,586.6
2021-12-01,614.3
2022-01-01,636.2
2022-02-01,676.4
2022-03-01,713.4
2022-04-01,733.9
2022-05-01,696.9
2022-06-01,712.2
2022-07-01,684.2
2022-08-01,651.4
2022-09-01,627.2
2022-10-01,616.2
2022-11-01,649.5
2022-12-01,681.5
2023-01-01,713.6
2023-02-01,741.8
2023-03-01,756.3
2023-04-01,749.5
2023-05-01,759.9
2023-06-01,749.9
2023-07-01,700.5
2023-08-01,694.7
2023-09-01,677.2
2023-10-01,676.4
2023-11-01,665.8
2023-12-01,698.1
2024-01-01,734.8
2024-02-01,760.0
2024-03-01,820.8
2024-04-01,806.0
2024-05-01,811.9
2024-06-01,786.9
2024-07-01,783.0
2024-08-01,753.8
2024-09-01,727.6
2024-10-01,689.6
2024-11-01,728.7
2024-12-01,762.2
